Basic Parameters: 2024-09-23_10-14-48 model=imagenet_resnet dataset=imagenet n_ex=1000 eps=5.0 p=0.105 n_iter=10000
Clean accuracy: 79.70%
218: attack success rate=45.9%, average queries=63.5, median queries=46.0
219: attack success rate=46.0%, average queries=63.9, median queries=46.5
220: attack success rate=46.2%, average queries=64.6, median queries=47.0
221: attack success rate=46.2%, average queries=64.6, median queries=47.0
222: attack success rate=46.4%, average queries=65.2, median queries=47.0
223: attack success rate=46.5%, average queries=65.6, median queries=47.0
224: attack success rate=46.6%, average queries=65.9, median queries=47.5
225: attack success rate=46.6%, average queries=65.9, median queries=47.5
226: attack success rate=46.6%, average queries=65.9, median queries=47.5
227: attack success rate=46.6%, average queries=65.9, median queries=47.5
228: attack success rate=46.7%, average queries=66.3, median queries=48.0
229: attack success rate=47.0%, average queries=67.3, median queries=49.0
230: attack success rate=47.0%, average queries=67.3, median queries=49.0
231: attack success rate=47.0%, average queries=67.3, median queries=49.0
232: attack success rate=47.0%, average queries=67.3, median queries=49.0
233: attack success rate=47.1%, average queries=67.7, median queries=49.0
234: attack success rate=47.2%, average queries=68.0, median queries=49.5
235: attack success rate=47.2%, average queries=68.0, median queries=49.5
236: attack success rate=47.2%, average queries=68.0, median queries=49.5
237: attack success rate=47.4%, average queries=68.7, median queries=50.0
238: attack success rate=47.5%, average queries=69.1, median queries=50.0
239: attack success rate=47.5%, average queries=69.1, median queries=50.0
240: attack success rate=47.6%, average queries=69.5, median queries=50.0
241: attack success rate=47.6%, average queries=69.5, median queries=50.0
242: attack success rate=47.7%, average queries=69.8, median queries=50.0
243: attack success rate=47.7%, average queries=69.8, median queries=50.0
244: attack success rate=47.9%, average queries=70.6, median queries=50.0
245: attack success rate=48.0%, average queries=70.9, median queries=51.0
246: attack success rate=48.1%, average queries=71.3, median queries=52.0
247: attack success rate=48.1%, average queries=71.3, median queries=52.0
248: attack success rate=48.1%, average queries=71.3, median queries=52.0
249: attack success rate=48.2%, average queries=71.7, median queries=52.0
250: attack success rate=48.4%, average queries=72.4, median queries=52.0
251: attack success rate=48.6%, average queries=73.1, median queries=52.5
252: attack success rate=48.8%, average queries=73.9, median queries=53.0
253: attack success rate=48.9%, average queries=74.2, median queries=53.0
254: attack success rate=49.0%, average queries=74.6, median queries=53.0
255: attack success rate=49.1%, average queries=75.0, median queries=53.0
256: attack success rate=49.1%, average queries=75.0, median queries=53.0
257: attack success rate=49.1%, average queries=75.0, median queries=53.0
258: attack success rate=49.2%, average queries=75.4, median queries=53.5
259: attack success rate=49.2%, average queries=75.4, median queries=53.5
260: attack success rate=49.2%, average queries=75.4, median queries=53.5
261: attack success rate=49.2%, average queries=75.4, median queries=53.5
262: attack success rate=49.3%, average queries=75.7, median queries=54.0
263: attack success rate=49.3%, average queries=75.7, median queries=54.0
264: attack success rate=49.4%, average queries=76.1, median queries=54.0
265: attack success rate=49.5%, average queries=76.5, median queries=54.0
266: attack success rate=49.5%, average queries=76.5, median queries=54.0
267: attack success rate=49.6%, average queries=76.9, median queries=54.0
268: attack success rate=49.7%, average queries=77.3, median queries=54.0
269: attack success rate=49.9%, average queries=78.1, median queries=55.0
270: attack success rate=49.9%, average queries=78.1, median queries=55.0
271: attack success rate=50.0%, average queries=78.4, median queries=55.5
272: attack success rate=50.1%, average queries=78.8, median queries=56.0
273: attack success rate=50.1%, average queries=78.8, median queries=56.0
274: attack success rate=50.2%, average queries=79.2, median queries=56.0
275: attack success rate=50.5%, average queries=80.4, median queries=56.0
276: attack success rate=50.5%, average queries=80.4, median queries=56.0
277: attack success rate=50.5%, average queries=80.4, median queries=56.0
278: attack success rate=50.7%, average queries=81.2, median queries=57.0
279: attack success rate=50.7%, average queries=81.2, median queries=57.0
280: attack success rate=50.7%, average queries=81.2, median queries=57.0
281: attack success rate=50.7%, average queries=81.2, median queries=57.0
282: attack success rate=50.8%, average queries=81.6, median queries=57.0
283: attack success rate=50.9%, average queries=82.0, median queries=57.0
284: attack success rate=50.9%, average queries=82.0, median queries=57.0
285: attack success rate=51.0%, average queries=82.4, median queries=57.5
286: attack success rate=51.0%, average queries=82.4, median queries=57.5
287: attack success rate=51.1%, average queries=82.8, median queries=58.0
288: attack success rate=51.2%, average queries=83.2, median queries=58.0
289: attack success rate=51.3%, average queries=83.6, median queries=58.0
290: attack success rate=51.3%, average queries=83.6, median queries=58.0
291: attack success rate=51.5%, average queries=84.4, median queries=59.0
292: attack success rate=51.5%, average queries=84.4, median queries=59.0
293: attack success rate=51.7%, average queries=85.2, median queries=60.0
294: attack success rate=51.7%, average queries=85.2, median queries=60.0
295: attack success rate=51.8%, average queries=85.6, median queries=60.0
296: attack success rate=51.8%, average queries=85.6, median queries=60.0
297: attack success rate=51.8%, average queries=85.6, median queries=60.0
298: attack success rate=51.9%, average queries=86.0, median queries=60.0
299: attack success rate=51.9%, average queries=86.0, median queries=60.0
300: attack success rate=52.1%, average queries=86.8, median queries=60.0
301: attack success rate=52.3%, average queries=87.7, median queries=61.0
302: attack success rate=52.3%, average queries=87.7, median queries=61.0
303: attack success rate=52.3%, average queries=87.7, median queries=61.0
304: attack success rate=52.3%, average queries=87.7, median queries=61.0
305: attack success rate=52.6%, average queries=88.9, median queries=61.5
306: attack success rate=52.6%, average queries=88.9, median queries=61.5
307: attack success rate=52.6%, average queries=88.9, median queries=61.5
308: attack success rate=52.6%, average queries=88.9, median queries=61.5
309: attack success rate=52.8%, average queries=89.7, median queries=62.0
310: attack success rate=52.8%, average queries=89.7, median queries=62.0
311: attack success rate=53.0%, average queries=90.6, median queries=62.0
312: attack success rate=53.1%, average queries=91.0, median queries=62.0
313: attack success rate=53.2%, average queries=91.4, median queries=63.0
314: attack success rate=53.3%, average queries=91.8, median queries=64.0
315: attack success rate=53.3%, average queries=91.8, median queries=64.0
316: attack success rate=53.5%, average queries=92.7, median queries=64.0
317: attack success rate=53.5%, average queries=92.7, median queries=64.0
318: attack success rate=53.6%, average queries=93.1, median queries=64.0
319: attack success rate=53.6%, average queries=93.1, median queries=64.0
320: attack success rate=53.6%, average queries=93.1, median queries=64.0
321: attack success rate=53.7%, average queries=93.5, median queries=64.0
322: attack success rate=53.8%, average queries=94.0, median queries=64.0
323: attack success rate=53.8%, average queries=94.0, median queries=64.0
324: attack success rate=53.9%, average queries=94.4, median queries=64.0
325: attack success rate=54.0%, average queries=94.8, median queries=64.0
326: attack success rate=54.0%, average queries=94.8, median queries=64.0
327: attack success rate=54.3%, average queries=96.1, median queries=65.0
328: attack success rate=54.5%, average queries=97.0, median queries=65.0
329: attack success rate=54.7%, average queries=97.8, median queries=66.0
330: attack success rate=54.7%, average queries=97.8, median queries=66.0
331: attack success rate=54.9%, average queries=98.7, median queries=66.0
332: attack success rate=54.9%, average queries=98.7, median queries=66.0
333: attack success rate=54.9%, average queries=98.7, median queries=66.0
334: attack success rate=54.9%, average queries=98.7, median queries=66.0
335: attack success rate=55.0%, average queries=99.1, median queries=66.0
336: attack success rate=55.0%, average queries=99.1, median queries=66.0
337: attack success rate=55.1%, average queries=99.5, median queries=66.0
338: attack success rate=55.2%, average queries=100.0, median queries=66.5
339: attack success rate=55.3%, average queries=100.4, median queries=67.0
