Basic Parameters: 2024-09-21_19-17-05 model=svhn-defended-trades dataset=svhn n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 93.85%
141: attack success rate=95.6%, average queries=16.5, median queries=6.0
142: attack success rate=95.6%, average queries=16.5, median queries=6.0
143: attack success rate=95.6%, average queries=16.5, median queries=6.0
144: attack success rate=95.6%, average queries=16.5, median queries=6.0
145: attack success rate=95.6%, average queries=16.5, median queries=6.0
146: attack success rate=95.6%, average queries=16.5, median queries=6.0
147: attack success rate=95.7%, average queries=16.6, median queries=6.0
148: attack success rate=95.7%, average queries=16.6, median queries=6.0
149: attack success rate=95.7%, average queries=16.6, median queries=6.0
150: attack success rate=95.8%, average queries=16.8, median queries=6.0
151: attack success rate=95.9%, average queries=16.9, median queries=6.0
152: attack success rate=95.9%, average queries=16.9, median queries=6.0
153: attack success rate=95.9%, average queries=16.9, median queries=6.0
154: attack success rate=96.0%, average queries=17.0, median queries=6.0
155: attack success rate=96.2%, average queries=17.3, median queries=6.0
156: attack success rate=96.2%, average queries=17.3, median queries=6.0
157: attack success rate=96.3%, average queries=17.5, median queries=6.0
158: attack success rate=96.4%, average queries=17.6, median queries=6.5
159: attack success rate=96.4%, average queries=17.6, median queries=6.5
160: attack success rate=96.4%, average queries=17.6, median queries=6.5
161: attack success rate=96.4%, average queries=17.6, median queries=6.5
162: attack success rate=96.4%, average queries=17.6, median queries=6.5
163: attack success rate=96.6%, average queries=17.9, median queries=7.0
164: attack success rate=96.7%, average queries=18.1, median queries=7.0
165: attack success rate=96.7%, average queries=18.1, median queries=7.0
166: attack success rate=96.7%, average queries=18.1, median queries=7.0
167: attack success rate=96.7%, average queries=18.1, median queries=7.0
168: attack success rate=96.7%, average queries=18.1, median queries=7.0
169: attack success rate=96.8%, average queries=18.2, median queries=7.0
170: attack success rate=96.9%, average queries=18.4, median queries=7.0
171: attack success rate=97.0%, average queries=18.5, median queries=7.0
172: attack success rate=97.1%, average queries=18.7, median queries=7.0
173: attack success rate=97.1%, average queries=18.7, median queries=7.0
174: attack success rate=97.1%, average queries=18.7, median queries=7.0
175: attack success rate=97.1%, average queries=18.7, median queries=7.0
176: attack success rate=97.1%, average queries=18.7, median queries=7.0
177: attack success rate=97.1%, average queries=18.7, median queries=7.0
178: attack success rate=97.1%, average queries=18.7, median queries=7.0
179: attack success rate=97.1%, average queries=18.7, median queries=7.0
180: attack success rate=97.1%, average queries=18.7, median queries=7.0
181: attack success rate=97.1%, average queries=18.7, median queries=7.0
182: attack success rate=97.1%, average queries=18.7, median queries=7.0
183: attack success rate=97.2%, average queries=18.9, median queries=7.0
184: attack success rate=97.2%, average queries=18.9, median queries=7.0
185: attack success rate=97.2%, average queries=18.9, median queries=7.0
186: attack success rate=97.2%, average queries=18.9, median queries=7.0
187: attack success rate=97.2%, average queries=18.9, median queries=7.0
188: attack success rate=97.2%, average queries=18.9, median queries=7.0
189: attack success rate=97.2%, average queries=18.9, median queries=7.0
190: attack success rate=97.2%, average queries=18.9, median queries=7.0
191: attack success rate=97.2%, average queries=18.9, median queries=7.0
192: attack success rate=97.2%, average queries=18.9, median queries=7.0
193: attack success rate=97.2%, average queries=18.9, median queries=7.0
194: attack success rate=97.2%, average queries=18.9, median queries=7.0
195: attack success rate=97.2%, average queries=18.9, median queries=7.0
196: attack success rate=97.2%, average queries=18.9, median queries=7.0
197: attack success rate=97.2%, average queries=18.9, median queries=7.0
198: attack success rate=97.2%, average queries=18.9, median queries=7.0
199: attack success rate=97.2%, average queries=18.9, median queries=7.0
200: attack success rate=97.3%, average queries=19.1, median queries=7.0
201: attack success rate=97.3%, average queries=19.1, median queries=7.0
202: attack success rate=97.3%, average queries=19.1, median queries=7.0
