Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
180: attack success rate=81.0%, average queries=33.1, median queries=14.0
181: attack success rate=81.2%, average queries=33.5, median queries=14.0
182: attack success rate=81.2%, average queries=33.5, median queries=14.0
183: attack success rate=81.2%, average queries=33.5, median queries=14.0
184: attack success rate=81.2%, average queries=33.5, median queries=14.0
185: attack success rate=81.3%, average queries=33.7, median queries=14.0
186: attack success rate=81.4%, average queries=33.9, median queries=14.0
187: attack success rate=81.5%, average queries=34.1, median queries=14.0
188: attack success rate=81.5%, average queries=34.1, median queries=14.0
189: attack success rate=81.6%, average queries=34.3, median queries=14.0
190: attack success rate=81.7%, average queries=34.5, median queries=14.0
191: attack success rate=81.7%, average queries=34.5, median queries=14.0
192: attack success rate=81.9%, average queries=34.8, median queries=14.0
193: attack success rate=82.0%, average queries=35.0, median queries=14.0
194: attack success rate=82.0%, average queries=35.0, median queries=14.0
195: attack success rate=82.2%, average queries=35.4, median queries=14.0
196: attack success rate=82.2%, average queries=35.4, median queries=14.0
197: attack success rate=82.2%, average queries=35.4, median queries=14.0
198: attack success rate=82.2%, average queries=35.4, median queries=14.0
199: attack success rate=82.2%, average queries=35.4, median queries=14.0
200: attack success rate=82.2%, average queries=35.4, median queries=14.0
201: attack success rate=82.3%, average queries=35.6, median queries=14.0
202: attack success rate=82.3%, average queries=35.6, median queries=14.0
203: attack success rate=82.5%, average queries=36.0, median queries=14.0
204: attack success rate=82.5%, average queries=36.0, median queries=14.0
205: attack success rate=82.6%, average queries=36.2, median queries=14.0
206: attack success rate=82.6%, average queries=36.2, median queries=14.0
207: attack success rate=82.7%, average queries=36.5, median queries=14.0
208: attack success rate=82.7%, average queries=36.5, median queries=14.0
209: attack success rate=83.0%, average queries=37.1, median queries=15.0
210: attack success rate=83.1%, average queries=37.3, median queries=15.0
211: attack success rate=83.2%, average queries=37.5, median queries=15.0
212: attack success rate=83.2%, average queries=37.5, median queries=15.0
213: attack success rate=83.2%, average queries=37.5, median queries=15.0
214: attack success rate=83.2%, average queries=37.5, median queries=15.0
215: attack success rate=83.4%, average queries=37.9, median queries=15.5
216: attack success rate=83.4%, average queries=37.9, median queries=15.5
217: attack success rate=83.5%, average queries=38.1, median queries=16.0
218: attack success rate=83.6%, average queries=38.4, median queries=16.0
