Basic Parameters: 2024-09-22_15-27-05 model=imagenet_inception dataset=imagenet n_ex=1000 eps=5.0 p=0.103 n_iter=10000
Clean accuracy: 76.10%
158: attack success rate=34.3%, average queries=51.5, median queries=38.0
159: attack success rate=34.3%, average queries=51.5, median queries=38.0
160: attack success rate=34.3%, average queries=51.5, median queries=38.0
161: attack success rate=34.6%, average queries=52.5, median queries=38.5
162: attack success rate=34.7%, average queries=52.8, median queries=39.0
163: attack success rate=34.7%, average queries=52.8, median queries=39.0
164: attack success rate=35.0%, average queries=53.8, median queries=40.5
165: attack success rate=35.1%, average queries=54.1, median queries=41.0
166: attack success rate=35.2%, average queries=54.4, median queries=41.0
167: attack success rate=35.3%, average queries=54.7, median queries=41.0
168: attack success rate=35.3%, average queries=54.7, median queries=41.0
169: attack success rate=35.5%, average queries=55.4, median queries=41.0
170: attack success rate=35.5%, average queries=55.4, median queries=41.0
171: attack success rate=35.6%, average queries=55.7, median queries=41.0
172: attack success rate=35.7%, average queries=56.0, median queries=41.0
173: attack success rate=35.8%, average queries=56.4, median queries=41.5
174: attack success rate=35.9%, average queries=56.7, median queries=42.0
175: attack success rate=36.0%, average queries=57.0, median queries=42.0
176: attack success rate=36.0%, average queries=57.0, median queries=42.0
177: attack success rate=36.2%, average queries=57.7, median queries=42.0
178: attack success rate=36.5%, average queries=58.7, median queries=42.0
179: attack success rate=36.6%, average queries=59.0, median queries=42.0
180: attack success rate=36.8%, average queries=59.7, median queries=42.0
181: attack success rate=37.0%, average queries=60.4, median queries=42.5
182: attack success rate=37.2%, average queries=61.0, median queries=43.0
183: attack success rate=37.2%, average queries=61.0, median queries=43.0
184: attack success rate=37.5%, average queries=62.0, median queries=45.0
185: attack success rate=37.5%, average queries=62.0, median queries=45.0
186: attack success rate=37.5%, average queries=62.0, median queries=45.0
187: attack success rate=37.9%, average queries=63.3, median queries=47.0
188: attack success rate=37.9%, average queries=63.3, median queries=47.0
189: attack success rate=37.9%, average queries=63.3, median queries=47.0
190: attack success rate=37.9%, average queries=63.3, median queries=47.0
191: attack success rate=38.0%, average queries=63.7, median queries=47.0
192: attack success rate=38.1%, average queries=64.0, median queries=47.0
193: attack success rate=38.1%, average queries=64.0, median queries=47.0
194: attack success rate=38.3%, average queries=64.7, median queries=48.0
195: attack success rate=38.4%, average queries=65.0, median queries=48.0
196: attack success rate=38.6%, average queries=65.7, median queries=48.5
197: attack success rate=38.7%, average queries=66.1, median queries=49.0
198: attack success rate=38.9%, average queries=66.8, median queries=49.0
199: attack success rate=38.9%, average queries=66.8, median queries=49.0
200: attack success rate=38.9%, average queries=66.8, median queries=49.0
201: attack success rate=39.2%, average queries=67.8, median queries=49.5
202: attack success rate=39.2%, average queries=67.8, median queries=49.5
203: attack success rate=39.3%, average queries=68.1, median queries=50.0
204: attack success rate=39.3%, average queries=68.1, median queries=50.0
205: attack success rate=39.4%, average queries=68.5, median queries=50.0
206: attack success rate=39.5%, average queries=68.8, median queries=50.0
207: attack success rate=39.6%, average queries=69.2, median queries=50.0
208: attack success rate=39.6%, average queries=69.2, median queries=50.0
209: attack success rate=39.7%, average queries=69.5, median queries=50.0
210: attack success rate=39.8%, average queries=69.9, median queries=50.0
211: attack success rate=39.9%, average queries=70.3, median queries=50.0
212: attack success rate=40.0%, average queries=70.6, median queries=50.5
213: attack success rate=40.0%, average queries=70.6, median queries=50.5
214: attack success rate=40.1%, average queries=71.0, median queries=51.0
215: attack success rate=40.1%, average queries=71.0, median queries=51.0
216: attack success rate=40.1%, average queries=71.0, median queries=51.0
217: attack success rate=40.1%, average queries=71.0, median queries=51.0
218: attack success rate=40.1%, average queries=71.0, median queries=51.0
219: attack success rate=40.2%, average queries=71.3, median queries=51.0
220: attack success rate=40.2%, average queries=71.3, median queries=51.0
221: attack success rate=40.3%, average queries=71.7, median queries=51.0
222: attack success rate=40.4%, average queries=72.1, median queries=51.5
223: attack success rate=40.4%, average queries=72.1, median queries=51.5
224: attack success rate=40.4%, average queries=72.1, median queries=51.5
225: attack success rate=40.4%, average queries=72.1, median queries=51.5
226: attack success rate=40.4%, average queries=72.1, median queries=51.5
227: attack success rate=40.4%, average queries=72.1, median queries=51.5
228: attack success rate=40.4%, average queries=72.1, median queries=51.5
229: attack success rate=40.5%, average queries=72.5, median queries=52.0
230: attack success rate=40.6%, average queries=72.9, median queries=52.0
231: attack success rate=40.7%, average queries=73.3, median queries=52.0
232: attack success rate=40.7%, average queries=73.3, median queries=52.0
233: attack success rate=40.8%, average queries=73.7, median queries=52.0
234: attack success rate=40.8%, average queries=73.7, median queries=52.0
235: attack success rate=40.8%, average queries=73.7, median queries=52.0
236: attack success rate=41.0%, average queries=74.4, median queries=53.0
237: attack success rate=41.2%, average queries=75.2, median queries=54.0
238: attack success rate=41.3%, average queries=75.6, median queries=54.0
239: attack success rate=41.3%, average queries=75.6, median queries=54.0
240: attack success rate=41.3%, average queries=75.6, median queries=54.0
241: attack success rate=41.4%, average queries=76.0, median queries=54.0
242: attack success rate=41.5%, average queries=76.4, median queries=54.0
243: attack success rate=41.6%, average queries=76.8, median queries=54.0
244: attack success rate=41.7%, average queries=77.2, median queries=54.0
245: attack success rate=41.7%, average queries=77.2, median queries=54.0
246: attack success rate=41.7%, average queries=77.2, median queries=54.0
247: attack success rate=41.7%, average queries=77.2, median queries=54.0
248: attack success rate=41.7%, average queries=77.2, median queries=54.0
249: attack success rate=41.7%, average queries=77.2, median queries=54.0
250: attack success rate=41.8%, average queries=77.7, median queries=54.0
251: attack success rate=41.8%, average queries=77.7, median queries=54.0
252: attack success rate=41.8%, average queries=77.7, median queries=54.0
253: attack success rate=41.9%, average queries=78.1, median queries=54.0
254: attack success rate=42.0%, average queries=78.5, median queries=54.5
255: attack success rate=42.2%, average queries=79.3, median queries=55.5
256: attack success rate=42.3%, average queries=79.8, median queries=56.0
257: attack success rate=42.4%, average queries=80.2, median queries=56.5
258: attack success rate=42.5%, average queries=80.6, median queries=57.0
259: attack success rate=42.6%, average queries=81.0, median queries=57.0
260: attack success rate=42.6%, average queries=81.0, median queries=57.0
261: attack success rate=42.7%, average queries=81.5, median queries=57.0
262: attack success rate=42.7%, average queries=81.5, median queries=57.0
263: attack success rate=42.9%, average queries=82.3, median queries=57.0
264: attack success rate=43.0%, average queries=82.7, median queries=58.0
265: attack success rate=43.1%, average queries=83.2, median queries=59.0
266: attack success rate=43.1%, average queries=83.2, median queries=59.0
267: attack success rate=43.1%, average queries=83.2, median queries=59.0
268: attack success rate=43.1%, average queries=83.2, median queries=59.0
269: attack success rate=43.1%, average queries=83.2, median queries=59.0
270: attack success rate=43.1%, average queries=83.2, median queries=59.0
271: attack success rate=43.3%, average queries=84.0, median queries=59.0
272: attack success rate=43.3%, average queries=84.0, median queries=59.0
273: attack success rate=43.4%, average queries=84.5, median queries=59.5
274: attack success rate=43.4%, average queries=84.5, median queries=59.5
275: attack success rate=43.7%, average queries=85.8, median queries=60.0
276: attack success rate=43.7%, average queries=85.8, median queries=60.0
277: attack success rate=43.7%, average queries=85.8, median queries=60.0
278: attack success rate=43.7%, average queries=85.8, median queries=60.0
279: attack success rate=43.7%, average queries=85.8, median queries=60.0
280: attack success rate=43.9%, average queries=86.7, median queries=61.0
281: attack success rate=43.9%, average queries=86.7, median queries=61.0
282: attack success rate=44.1%, average queries=87.6, median queries=61.0
283: attack success rate=44.2%, average queries=88.0, median queries=61.0
284: attack success rate=44.3%, average queries=88.4, median queries=61.0
285: attack success rate=44.4%, average queries=88.9, median queries=61.5
286: attack success rate=44.5%, average queries=89.3, median queries=62.0
287: attack success rate=44.5%, average queries=89.3, median queries=62.0
288: attack success rate=44.6%, average queries=89.8, median queries=62.5
289: attack success rate=44.6%, average queries=89.8, median queries=62.5
290: attack success rate=44.6%, average queries=89.8, median queries=62.5
291: attack success rate=44.9%, average queries=91.1, median queries=63.0
292: attack success rate=44.9%, average queries=91.1, median queries=63.0
